Rebuild completion watcher started.
Watching: C:\Users\1028120\Documents\Scripts\corp-monorepo\.ecosystem\rebuild_staging\source_library\rebuild\status.json
[05:55:10] Progress: 119/257
[05:56:10] Progress: 119/257
[05:57:10] Progress: 121/257
[05:58:10] Progress: 121/257
[05:59:10] Progress: 122/257
[06:00:10] Progress: 123/257
[06:01:10] Progress: 123/257
[06:02:10] Progress: 125/257
[06:03:10] Progress: 126/257
[06:04:10] Progress: 126/257
[06:05:10] Progress: 126/257
[06:06:10] Progress: 126/257
[06:07:10] Progress: 127/257
[06:08:10] Progress: 127/257
[06:09:10] Progress: 129/257
[06:10:10] Progress: 129/257
[06:11:10] Progress: 129/257
[06:12:10] Progress: 130/257
[06:13:10] Progress: 130/257
[06:14:10] Progress: 131/257
[06:15:10] Progress: 131/257
[06:16:10] Progress: 131/257
[06:17:10] Progress: 132/257
[06:18:10] Progress: 134/257
[06:19:10] Progress: 134/257
[06:20:10] Progress: 135/257
[06:21:10] Progress: 136/257
[06:22:10] Progress: 136/257
[06:23:10] Progress: 136/257
[06:24:10] Progress: 136/257
[06:25:10] Progress: 137/257
[06:26:10] Progress: 138/257
[06:27:10] Progress: 138/257
[06:28:10] Progress: 141/257
[06:29:10] Progress: 143/257
[06:30:10] Progress: 144/257
[06:31:10] Progress: 146/257
[06:32:10] Progress: 146/257
[06:33:10] Progress: 147/257
[06:34:10] Progress: 149/257
[06:35:10] Progress: 151/257
[06:36:10] Progress: 152/257
[06:37:10] Progress: 153/257
[06:38:10] Progress: 154/257
[06:39:10] Progress: 155/257
[06:40:10] Progress: 155/257
[06:41:10] Progress: 155/257
[06:42:10] Progress: 155/257
[06:43:10] Progress: 155/257
[06:44:10] Progress: 155/257
[06:45:10] Progress: 155/257
[06:46:10] Progress: 155/257
[06:47:10] Progress: 156/257
[06:48:10] Progress: 156/257
[06:49:10] Progress: 156/257
[06:50:10] Progress: 157/257
[06:51:10] Progress: 157/257
[06:52:10] Progress: 157/257
[06:53:10] Progress: 157/257
[06:54:10] Progress: 157/257
[06:55:10] Progress: 157/257
[06:56:10] Progress: 157/257
[06:57:10] Progress: 157/257
[06:58:10] Progress: 158/257
[06:59:10] Progress: 158/257
[07:00:10] Progress: 158/257
[07:01:10] Progress: 159/257
[07:02:10] Progress: 160/257
